Jour;Mois;JourSemaine;Base;UIOLI;Equi;ReaSePrec;TSP;ReaVeille;TVE;Inconnues
0.329787234;1;0.666666667;0.414701209;0.542151902;0.469326064;0.695277612;0.383378016;0.388375221;0.155495979;0.39848109
0.331117021;1;0.833333333;0.509766453;0.612923831;0.531967095;0.631445666;0.313672922;0.39848109;0.09919571;0.504751488
0.332446809;1;1;0.650551635;0.697828417;0.471739843;0.642294123;0.254691689;0.504751488;0.254691689;0.669569816
0.333776596;1;0;0.694710259;0.793090253;0.48565128;0.594914433;0.174262735;0.669569816;0.367292225;0.734894588
0.335106383;1;0.166666667;0.543994882;0.64932681;0.337196707;0.46955701;0.206434316;0.734894588;0.353887399;0.525070534
0.33643617;1;0.333333333;0.495378681;0.656129853;0.319432919;0.359586524;0.190348525;0.525070534;0.278820375;0.465846533
0.337765957;1;0.5;0.454501099;0.647736171;0.319456798;0.388375221;0.155495979;0.465846533;0.238605898;0.436261987
0.339095745;1;0.666666667;0.392623331;0.600415752;0.511317937;0.39848109;0.09919571;0.436261987;0.26541555;0.411481222
0.340425532;1;0.833333333;0.520628895;0.698177088;0.477484848;0.504751488;0.254691689;0.411481222;0.241286863;0.541842857
0.341755319;1;1;0.68793983;0.696907247;0.418151358;0.669569816;0.367292225;0.541842857;0.310991957;0.700351791
0.343085106;1;0;0.693541703;0.720799893;0.45244895;0.734894588;0.353887399;0.700351791;0.351206434;0.707482314
0.344414894;1;0.166666667;0.610959573;0.655382769;0.322413831;0.525070534;0.278820375;0.707482314;0.335120643;0.604830736
0.345744681;1;0.333333333;0.58687133;0.589306996;0.276007632;0.465846533;0.238605898;0.604830736;0.345844504;0.565287577
0.347074468;1;0.5;0.542995189;0.655382769;0.414172548;0.436261987;0.26541555;0.565287577;0.380697051;0.562665658
0.348404255;1;0.666666667;0.644049571;0.771859263;0.342363137;0.411481222;0.241286863;0.562665658;0.327077748;0.669220178
0.349734043;1;0.833333333;0.609529695;0.603662302;0.40550743;0.541842857;0.310991957;0.669220178;0.428954424;0.629819018
0.35106383;1;1;0.665244376;0.756487155;0.360374585;0.700351791;0.351206434;0.629819018;0.353887399;0.683589547
0.352393617;1;0;0.667108333;0.825019693;0.385149208;0.707482314;0.335120643;0.683589547;0.332439678;0.692407098
0.353723404;1;0.166666667;0.567604222;0.674684809;0.392683652;0.604830736;0.345844504;0.692407098;0.337801609;0.578214587
0.355053191;1;0.333333333;0.644048714;0.685583326;0.308463171;0.565287577;0.380697051;0.578214587;0.340482574;0.676539414
0.356382979;1;0.5;0.645246593;0.659573493;0.414387712;0.562665658;0.327077748;0.676539414;0.394101877;0.659400479
0.357712766;1;0.666666667;0.611837554;0.65498511;0.350630312;0.669220178;0.428954424;0.659400479;0.292225201;0.625055821
0.359042553;1;0.833333333;0.574417232;0.724071621;0.184797788;0.629819018;0.353887399;0.625055821;0.321715818;0.586537554
0.36037234;1;1;0.566165015;0.719017707;0.566428318;0.683589547;0.332439678;0.586537554;0.340482574;0.61589051
0.361702128;1;0;0.55524;0.685574329;0.352735663;0.692407098;0.337801609;0.61589051;0.249329759;0.541538105
0.363031915;1;0.166666667;0.482441871;0.672929679;0.481468607;0.578214587;0.340482574;0.541538105;0.160857909;0.479389749
0.364361702;1;0.333333333;0.400206353;0.692265103;0.522029675;0.676539414;0.394101877;0.479389749;0.163538874;0.446791143
0.365691489;0;0.5;0.340810636;0.654931606;0.456583229;0.659400479;0.292225201;0.446791143;0.134048257;0.349052626
0.367021277;0;0.666666667;0.251153437;0.586594808;0.562543289;0.625055821;0.321715818;0.349052626;0.179624665;0.274790198
0.368351064;0;0.833333333;0.281221797;0.353645633;0.585042499;0.586537554;0.340482574;0.274790198;0.308310992;0.308030212
0.369680851;0;1;0.332191362;0.667083397;0.510545884;0.61589051;0.249329759;0.308030212;0.343163539;0.368112305
0.371010638;0;0;0.333448617;0.587688826;0.483011291;0.541538105;0.160857909;0.368112305;0.289544236;0.351102907
0.372340426;0;0.166666667;0.237634541;0.63989222;0.422902833;0.479389749;0.163538874;0.351102907;0.27613941;0.238162738
0.373670213;0;0.333333333;0.246443133;0.452490537;0.520226214;0.446791143;0.134048257;0.238162738;0.238605898;0.245342465
0.375;0;0.5;0.314087895;0.663338053;0.49718626;0.349052626;0.179624665;0.245342465;0.324396783;0.336057835
0.376329787;0;0.666666667;0.305103511;0.335310005;0.251132202;0.274790198;0.308310992;0.336057835;0.407506702;0.305213589
0.377659574;0;0.833333333;0.293870586;0.459983195;0.549158657;0.308030212;0.343163539;0.305213589;0.388739946;0.313689846
0.378989362;0;1;0.347826816;0.685579156;0.27277248;0.368112305;0.289544236;0.313689846;0.292225201;0.350415471
0.380319149;0;0;0.366344808;0.654991227;0.685518643;0.351102907;0.27613941;0.350415471;0.233243968;0.405960653
0.381648936;0;0.166666667;0.296033042;0.513295843;0.798134706;0.238162738;0.238605898;0.405960653;0.300268097;0.337946805
0.382978723;0;0.333333333;0.180317071;0.239318619;0.466681806;0.245342465;0.324396783;0.337946805;0.329758713;0.171118903
0.384308511;0;0.5;0.247168266;0.331548672;0.538969196;0.336057835;0.407506702;0.171118903;0.375335121;0.244981513
0.385638298;0;0.666666667;0.23079945;0.44603589;0.35990633;0.305213589;0.388739946;0.244981513;0.340482574;0.232443277
0.386968085;0;0.833333333;0.221480355;0.514586335;0.375858721;0.313689846;0.292225201;0.232443277;0.361930295;0.237104891
0.388297872;0;1;0.205461281;0.552289726;0.410549695;0.350415471;0.233243968;0.237104891;0.294906166;0.206441258
0.38962766;0;0;0.16714586;0.409600082;0.470614469;0.405960653;0.300268097;0.206441258;0.230563003;0.168253128
0.390957447;0;0.166666667;0.124125297;0.516070912;0.300101866;0.337946805;0.329758713;0.168253128;0.222520107;0.081970793
0.392287234;0;0.333333333;0.03752643;0.514532247;0.236372428;0.171118903;0.375335121;0.081970793;0.174262735;0.005986385
0.393617021;0;0.5;0;0.626492151;0.11994404;0.244981513;0.340482574;0.005986385;0.147453083;0.001479916
0.394946809;0;0.666666667;0.032178485;0.627790195;0.167307822;0.232443277;0.361930295;0.001479916;0.109919571;0
0.396276596;0;0.833333333;0.109175909;0.600258689;0.250843648;0.237104891;0.294906166;0;0.123324397;0.083632402
0.397606383;0;1;0.206557154;0.498980853;0.743221366;0.206441258;0.230563003;0.083632402;0.115281501;0.22808976
0.39893617;0;0;0.278729057;0.604726498;0.634952066;0.168253128;0.222520107;0.22808976;0.193029491;0.327615571
0.400265957;0;0.166666667;0.2463625;0.621198337;0.680506828;0.081970793;0.174262735;0.327615571;0.278820375;0.276835252
0.401595745;0;0.333333333;0.224740596;0.646069429;0.223574844;0.005986385;0.147453083;0.276835252;0.316353887;0.207526009
0.402925532;0;0.5;0.183315329;0.555176226;0.435474698;0.001479916;0.109919571;0.207526009;0.262734584;0.194929773
0.404255319;0;0.666666667;0.298295795;0.643340546;0.343129126;0;0.123324397;0.194929773;0.273458445;0.320947065
0.405585106;0;0.833333333;0.380528547;0.711150025;0.475696915;0.083632402;0.115281501;0.320947065;0.36461126;0.421158743
0.406914894;0.090909091;1;0.475286051;0.731445682;0.42783421;0.22808976;0.193029491;0.421158743;0.423592493;0.505320806
0.408244681;0.090909091;0;0.486611948;0.722395574;0.43962274;0.327615571;0.278820375;0.505320806;0.420911528;0.51432204
0.409574468;0.090909091;0.166666667;0.409437748;0.506343895;0.293763056;0.276835252;0.316353887;0.51432204;0.445040214;0.407787963
0.410904255;0.090909091;0.333333333;0.345364363;0.59214187;0.423066154;0.207526009;0.262734584;0.407787963;0.378016086;0.351108796
0.412234043;0.090909091;0.5;0.260112955;0.422782629;0.636213228;0.194929773;0.273458445;0.351108796;0.297587131;0.292399372
0.41356383;0.090909091;0.666666667;0.149333832;0.500558305;0.524197438;0.320947065;0.36461126;0.292399372;0.27077748;0.203049026
0.414893617;0.090909091;0.833333333;0.280510747;0.509624201;0.523190792;0.421158743;0.423592493;0.203049026;0.252010724;0.316475464
